common_names,other names,country_of_origin
Abbuoto,"Aboto, Cecubo.","Italy, Lazio"
Abouriou,"Beaujolais, Early Burgunder, Early Burgundy, Gamay Beaujolais, Gamay du Rhône, Gamay St-Laurent, Malbec Argente Negret de la Canourgue, Noir Hatif, Plant Abouriou, Plant Précoce, Précoce Naugé, Précoce Noir, Pressac de Bourgogne.","France, Southwest"
Alexandroouli,"Aleksandroouly, Aleksandrouli, Aleksandrouli shavi, Alexandreouli, Alexandreuli, Alexandroouli, Alexandrouly, Alexsandrouli, Kabistona, Kabistoni.",Georgia
Akhasheni,Akhashenuli,Georgia Eastern parts.
Abrusco,"Abrostalo, Abrostine, Abrostino, Abrusco nero, Abrusco nero di toscana, Abrusio, Colore, Colorino","Italy, Tuscany"
Acolon,NA,Germany
Ada Karasi,"Adakarasi, Adakarassy, Avsa adasi, Avsa island, Balikesir, Erdek, Noir des iles.",Turkey
Affenthaler,"Affenthaler schwarzblau, Affenthaler blauer, Blauer affenthaler, Burgunder saeuerlich, Kleiner trollinger, Morillon aigret, Pineau aigret, Saeuerlicher burgunder, Schwarzblaue affenthaler, Trollinger klein.",Germany
Agiorgitiko,"Aghiorghitico, Aghiorghitiko, Nemeas Mavro, Nemeas Mavroudi, St.George.",Greece
Aglianico,"Aglianco di puglia, Aglianica, Aglianichella, Aglianichello, Aglianico amaro, Aglianico crni, Aglianico del vulture, Aglianico di castellaneta, Aglianico di taurasi, Aglianico femminile, Aglianico mascolino, Aglianico nero, Aglianico pannarano, Aglianico tringarulo, Aglianico zerpoluso, Aglianico zerpuloso, Aglianicuccia, Agliano, Agliatica, Agliatico, Agnanico, Agnanico di castellaneta, Alianiko, Cascavoglia, Cerasole, Ellanico, Ellenico, Fiano rosso, Fresella, Gagliano, Ghiandara, Ghianna, Ghiannara, Glianica, Gnanica, Gnanico, Granica, Granico, Olivella di san cosmo, Prie blanc, Ruopolo, Spriema, Tringarulo, Uva catellaneta, Uva dei cani, Uva di castellaneta, Uva nera.","Italy, Basilicata and Campania"
Aglianicone,"Aglianico bastardo, Aglianicone nero, Glianicone, Ruopolo.","Italy, Basilicata and Campania"
Agni (grape) [cs],NA,Czech Republic
Agronomica,NA,Portugal
Agua Santa,NA,Portugal
Aidani Mavro,"Aedano mavro, Aidani noir, Aidano mavro, Ithani mavro, Mavraidano, Mayraedano, Santorin.",Greece
Aladasturi,"Aladastouri, Anadassaouli, Anadassaouli femelle, Anadassaouli male, Anadastouri.",Georgia
Albaranzeuli nero,NA,"Italy, Sardinia"
Albarossa,"Dalmasso, Incrocio dalmasso.","Italy, Veneto region"
